director_name,num_critic_for_reviews,duration,director_facebook_likes,num_voted_users,cast_total_facebook_likes,content_rating,title_year,imdb_score,movie_facebook_likes,director_experience,director_avg_imdb_score,movie_success_ratio,year_since_last_movie,target_genre,genre_frequency,actor_1_genre_avg_score,normalized_actor_popularity_score
James Cameron,723.0,178.0,0.0,886204,4834,PG-13,2009.0,7.9,33000,7,7.914285714285714,3.208885430379747,12.0,Action,5,6.197808219178082,-0.3470285200916154
Gore Verbinski,302.0,169.0,563.0,471220,48350,PG-13,2007.0,7.1,0,7,6.985714285714286,1.0313471733333333,1.0,Action,4,6.197808219178082,2.0746098963322064
Sam Mendes,602.0,148.0,0.0,275868,11700,PG-13,2015.0,6.8,85000,8,7.5,0.8166292857142857,3.0,Action,4,6.197808219178082,0.14409178917548057
Christopher Nolan,813.0,164.0,22000.0,1144337,106759,PG-13,2012.0,8.5,164000,8,8.425,1.792522568,4.0,Action,4,6.197808219178082,3.58781865477242
Doug Walker,153.4,106.4,131.0,8,143,,,7.1,0,1,7.1,2.6738214621633176,0.0,Documentary,1,7.1,-0.4932941577870698
Andrew Stanton,462.0,132.0,475.0,212204,1873,PG-13,2012.0,6.6,24000,3,7.733333333333333,0.277052252559727,4.0,Action,1,6.197808219178082,-0.4024567964655921
Sam Raimi,392.0,156.0,0.0,383056,46055,PG-13,2007.0,6.2,0,13,6.907692307692307,1.3043810193798449,3.0,Action,5,6.197808219178082,1.6822965145143733
Nathan Greno,324.0,100.0,15.0,294810,2036,PG,2010.0,7.8,29000,1,7.8,0.772335623076923,0.0,Adventure,1,6.508219178082191,-0.4117602280915579
Joss Whedon,635.0,141.0,0.0,462669,92000,PG-13,2015.0,7.5,118000,3,7.866666666666667,1.835966396,3.0,Action,3,6.197808219178082,3.1955052729545868
David Yates,375.0,153.0,282.0,321795,58753,PG,2009.0,7.5,10000,3,7.2,1.20782792,-7.0,Adventure,2,6.508219178082191,2.0746098963322064
Zack Snyder,673.0,183.0,0.0,371639,24450,PG-13,2016.0,6.9,197000,8,7.175,1.320996248,3.0,Action,8,6.197808219178082,0.6734906755542308
Bryan Singer,434.0,169.0,0.0,240396,29991,PG-13,2006.0,6.1,0,8,7.2875,0.9572698947368421,-8.0,Action,5,6.197808219178082,1.1164124836265645
Marc Forster,403.0,106.0,395.0,330784,2023,PG-13,2008.0,6.7,0,8,7.1499999999999995,0.841842135,-5.0,Action,3,6.197808219178082,-0.4330572402473831
Gore Verbinski,313.0,151.0,563.0,522040,48486,PG-13,2006.0,7.3,5000,7,6.985714285714286,1.8801450133333333,-7.0,Action,4,6.197808219178082,2.0746098963322064
Gore Verbinski,450.0,150.0,563.0,181792,45757,PG-13,2013.0,6.5,48000,7,6.985714285714286,0.4153019069767442,2.0,Action,4,6.197808219178082,1.9064755898388495
Zack Snyder,733.0,143.0,0.0,548573,20495,PG-13,2013.0,7.2,118000,8,7.175,1.2934291777777778,4.0,Action,8,6.197808219178082,0.5472778561465508
Andrew Adamson,258.0,150.0,80.0,149922,22697,PG,2008.0,6.6,0,5,7.08,0.6293956577777777,3.0,Action,1,6.197808219178082,0.7529061129879265
Joss Whedon,703.0,173.0,0.0,995415,87697,PG-13,2012.0,8.1,123000,3,7.866666666666667,2.83308885,7.0,Action,3,6.197808219178082,3.1955052729545868
Rob Marshall,448.0,136.0,252.0,370704,54083,PG-13,2011.0,6.7,58000,5,6.6,0.9642555,6.0,Action,1,6.197808219178082,2.4108785093189207
Barry Sonnenfeld,451.0,106.0,188.0,268154,12572,PG-13,2012.0,6.8,40000,7,6.457142857142857,0.79564824,13.0,Action,3,6.197808219178082,0.1429708937988582
Peter Jackson,422.0,164.0,0.0,354228,9152,PG-13,2014.0,7.5,65000,12,7.675000000000001,1.02043348,1.0,Adventure,3,6.508219178082191,-0.1254275041333708
Marc Webb,599.0,153.0,464.0,451803,28489,PG-13,2012.0,7.0,56000,3,7.133333333333333,1.139263752173913,-2.0,Action,2,6.197808219178082,0.9516408632630746
Ridley Scott,343.0,156.0,0.0,211765,3244,PG-13,2010.0,6.7,17000,17,7.070588235294117,0.526098675,-4.0,Action,8,6.197808219178082,-0.36272105536432875
Peter Jackson,509.0,186.0,0.0,483540,9152,PG-13,2013.0,7.9,83000,12,7.675000000000001,1.1482460177777778,8.0,Adventure,3,6.508219178082191,-0.1254275041333708
Chris Weitz,251.0,113.0,129.0,149019,24106,PG-13,2007.0,6.1,0,5,6.08,0.38935288333333334,-2.0,Adventure,2,6.508219178082191,0.7855802132164689
Peter Jackson,446.0,201.0,0.0,316018,7123,PG-13,2005.0,7.2,0,12,7.675000000000001,1.053387729468599,-7.0,Action,6,6.197808219178082,-0.11096795377494209
James Cameron,315.0,194.0,0.0,793059,45223,PG-13,1997.0,7.7,26000,7,7.914285714285714,3.29336151,6.0,Drama,1,6.716896551724138,1.950975136290758
Anthony Russo,516.0,147.0,94.0,272670,64798,PG-13,2016.0,8.2,72000,4,7.0,1.628789128,2.0,Action,2,6.197808219178082,2.3548337404878015
Peter Berg,377.0,131.0,532.0,202382,26679,PG-13,2012.0,5.9,44000,6,6.666666666666667,0.3118333014354067,4.0,Action,5,6.197808219178082,0.8767650521046996
Colin Trevorrow,644.0,124.0,365.0,418214,8458,PG-13,2015.0,7.0,150000,2,7.0,4.347848473333333,3.0,Action,1,6.197808219178082,-0.16718085691255447
Sam Mendes,750.0,143.0,0.0,522030,2039,PG-13,2012.0,7.8,80000,8,7.5,1.521801385,10.0,Action,4,6.197808219178082,-0.40038314001884073
Sam Raimi,300.0,135.0,0.0,411164,43388,PG-13,2004.0,7.3,0,13,6.907692307692307,1.866889465,-9.0,Action,5,6.197808219178082,1.6822965145143733
Shane Black,608.0,195.0,1000.0,557489,30426,PG-13,2013.0,7.2,95000,2,7.4,2.04496136,8.0,Action,1,6.197808219178082,1.0658040573720642
Tim Burton,451.0,108.0,13000.0,306320,79957,PG,2010.0,6.5,24000,16,6.93125,1.67092603,5.0,Adventure,4,6.508219178082191,3.755952961265777
Brett Ratner,334.0,104.0,420.0,383427,21714,PG-13,2006.0,6.8,0,9,6.455555555555556,1.1160000666666667,-1.0,Action,7,6.197808219178082,0.6941151504840827
Dan Scanlon,376.0,104.0,37.0,235025,14863,G,2013.0,7.3,44000,1,7.3,1.342441645,0.0,Adventure,1,6.508219178082191,0.2553406553052518
Michael Bay,366.0,150.0,0.0,323207,3218,PG-13,2009.0,6.0,0,13,6.638461538461538,2.010383445,-5.0,Action,12,6.197808219178082,-0.3947786631357288
Michael Bay,378.0,165.0,0.0,242420,3988,PG-13,2014.0,5.7,56000,13,6.638461538461538,1.1687054142857143,3.0,Action,12,6.197808219178082,-0.34999889283966473
Sam Raimi,525.0,130.0,0.0,175409,73441,PG,2013.0,6.4,60000,13,6.907692307692307,1.092572446511628,11.0,Adventure,2,6.508219178082191,3.419684348279063
Marc Webb,495.0,142.0,464.0,321227,28631,PG-13,2014.0,6.7,41000,3,7.133333333333333,1.014269665,5.0,Action,2,6.197808219178082,0.9439066851643803
Joseph Kosinski,469.0,125.0,364.0,264183,25550,PG,2010.0,6.8,30000,4,7.175,1.0120693352941177,-3.0,Action,4,6.197808219178082,0.7855802132164689
John Lasseter,304.0,106.0,487.0,101178,4482,G,2011.0,6.3,10000,5,7.380000000000001,0.957254375,12.0,Adventure,5,6.508219178082191,-0.3524088178994028
Martin Campbell,436.0,123.0,258.0,223393,17657,PG-13,2011.0,5.6,24000,9,6.711111111111111,0.582965955,5.0,Action,7,6.197808219178082,0.43216190096743234
Lee Unkrich,453.0,103.0,125.0,544884,19085,G,2010.0,8.3,30000,1,8.3,2.074922485,0.0,Adventure,1,6.508219178082191,0.43367510972587253
McG,422.0,118.0,368.0,286095,27468,PG-13,2009.0,6.6,0,6,6.083333333333333,0.626600015,6.0,Action,5,6.197808219178082,1.0090867513149717
James Wan,424.0,140.0,0.0,278232,79150,PG-13,2015.0,7.2,94000,7,7.2,1.8422847894736842,-1.0,Action,2,6.197808219178082,3.0273709664612296
Marc Forster,654.0,123.0,395.0,465019,32392,PG-13,2013.0,7.0,129000,8,7.1499999999999995,1.0650084789473684,7.0,Action,3,6.197808219178082,1.1218488262031832
Bryan Singer,539.0,149.0,0.0,514125,91434,PG-13,2014.0,8.0,82000,8,7.2875,1.16957493,1.0,Action,5,6.197808219178082,3.755952961265777
J.J. Abrams,590.0,132.0,14000.0,395573,21411,PG-13,2013.0,7.8,92000,4,7.449999999999999,1.2039801684210527,7.0,Action,3,6.197808219178082,0.668390601590599
Bryan Singer,338.0,114.0,0.0,106416,1766,PG-13,2013.0,6.3,22000,8,7.2875,0.33421466666666666,-3.0,Adventure,1,6.508219178082191,-0.4095184373383131
Baz Luhrmann,490.0,143.0,1000.0,362912,29770,PG-13,2013.0,7.3,115000,5,7.12,1.3791694857142858,5.0,Drama,4,6.716896551724138,1.1546910607382188
Mike Newell,306.0,116.0,179.0,222403,16149,PG-13,2010.0,6.6,23000,7,6.8428571428571425,0.453778215,5.0,Action,1,6.197808219178082,0.38222601193890526
Guillermo del Toro,575.0,131.0,0.0,381148,19166,PG-13,2013.0,7.0,83000,5,7.140000000000001,0.5357130631578947,5.0,Action,4,6.197808219178082,0.4990233101829573
Michael Bay,428.0,154.0,0.0,326180,2593,PG-13,2011.0,6.3,46000,13,6.638461538461538,1.8069680974358975,10.0,Action,12,6.197808219178082,-0.37432232251237035
Steven Spielberg,470.0,122.0,14000.0,333847,14959,PG-13,2008.0,6.2,5000,26,7.480769230769231,1.7135735891891892,-8.0,Action,9,6.197808219178082,0.22513252490527866
Peter Sohn,298.0,93.0,113.0,62836,696,PG,2015.0,6.8,20000,1,6.8,89.83236350364963,0.0,Adventure,1,6.508219178082191,-0.47329738426812656
Mark Andrews,488.0,93.0,56.0,273556,5005,PG,2012.0,7.2,39000,1,7.2,1.2826063891891892,0.0,Adventure,1,6.508219178082191,-0.2883496471254338
Justin Lin,322.0,122.0,681.0,53607,1327,PG-13,2016.0,7.5,30000,5,6.840000000000001,0.7052358162162162,5.0,Action,3,6.197808219178082,-0.43496276238764114
Andrew Stanton,421.0,98.0,475.0,718837,2975,G,2008.0,8.4,16000,3,7.733333333333333,1.2433716055555555,5.0,Adventure,2,6.508219178082191,-0.3772926952604197
Brett Ratner,162.0,91.0,420.0,121084,1125,PG-13,2007.0,6.2,0,9,6.455555555555556,1.0005775,-7.0,Action,7,6.197808219178082,-0.4637137287980052
Roland Emmerich,367.0,158.0,776.0,283418,2144,PG-13,2009.0,5.8,13000,8,6.1875,0.830560835,-7.0,Action,6,6.197808219178082,-0.403801870917539
Robert Zemeckis,240.0,96.0,0.0,72809,48878,PG,2009.0,6.8,0,13,7.3076923076923075,0.68925048,5.0,Animation,1,6.510909090909092,1.8504308210077303
Lana Wachowski,384.0,127.0,0.0,139593,47334,PG-13,2015.0,5.4,44000,6,6.916666666666667,0.26917799431818185,12.0,Action,5,6.197808219178082,2.0185651275010876
David Yates,248.0,110.0,282.0,42372,21175,PG-13,2016.0,6.6,29000,3,7.2,0.6891764388888889,9.0,Action,1,6.197808219178082,0.6792632867438361
Andrew Adamson,284.0,150.0,80.0,286506,1317,PG,2005.0,6.9,0,5,7.08,1.62061025,1.0,Adventure,3,6.508219178082191,-0.43216052394608523
Bryan Singer,396.0,144.0,0.0,148379,49684,PG-13,2016.0,7.3,54000,8,7.2875,0.8707027359550562,13.0,Action,5,6.197808219178082,2.1866994339944443
Christopher Nolan,645.0,152.0,22000.0,1676169,57802,PG-13,2008.0,9.0,37000,8,8.425,2.8827895189189188,-6.0,Action,4,6.197808219178082,2.1306546651633256
